Wavelength,Carbonate (McArthur Basin KG-92-27),Calcite (JB-JLB-549),Calcite (GR-CMP-001),Dolomite (SH-SJG-079),Muscovite (GDS114),Muscovite (GDS120),Kaolinite (KGA-1),Montmorillonite (SAZ-1),Quartz (DH-MBW-003),Quartz (GDS74 Sand Ottowa),"Kerogen (PPRG114, H:C = 0.8)",Kerogen ?,Sap (JB-JLB-B84-A),Illite (Imt-1),Biotite H2S8 (USGS)
1.7640000,0.9999612,0.9999449,0.9998644,0.9997595,0.9999061,0.9999657,0.9999548,0.9999798,0.9999260,0.9996398,0.9976150,0.9954273,0.9998506,0.9998255,0.9999636
1.7650000,0.9999547,0.9999576,0.9998740,0.9998520,0.9999012,0.9999522,0.9999584,0.9999767,0.9999372,0.9995708,0.9976005,0.9978580,0.9998455,0.9997761,0.9999046
1.7660000,0.9999625,0.9999712,0.9998986,0.9999304,0.9999253,1.0000000,0.9999765,0.9999881,0.9999486,0.9996191,0.9971017,0.9976749,0.9998359,0.9999273,0.9999267
1.7670000,0.9999821,0.9999736,0.9999195,0.9998928,0.9999380,0.9999508,0.9999723,0.9999842,0.9999598,0.9993346,0.9973793,0.9975672,0.9998275,0.9999729,0.9995793
1.7680000,1.0000000,0.9999708,0.9999422,0.9998936,0.9999384,0.9999814,0.9999970,0.9999820,0.9999712,0.9996372,0.9969476,0.9948819,0.9998559,0.9998107,0.9999148
1.7690000,0.9999960,0.9999724,0.9999442,0.9997716,0.9999533,0.9999575,0.9999765,0.9999964,0.9999825,0.9996724,0.9989438,0.9975840,0.9998616,0.9998078,0.9999869
1.7700000,0.9999974,0.9999762,0.9999224,0.9997639,0.9999512,0.9999623,0.9999680,1.0000000,0.9999937,0.9994552,0.9988185,0.9964983,0.9998597,0.9999093,0.9996994
1.7710000,0.9999770,0.9999860,0.9999119,0.9998777,0.9999705,0.9999736,0.9999615,0.9999957,0.9999844,0.9995187,1.0000000,0.9926823,0.9998892,0.9999444,0.9997596
1.7720000,0.9999707,0.9999982,0.9999261,1.0000000,0.9999460,0.9999989,0.9999257,0.9999841,0.9999752,0.9995090,0.9990225,0.9958074,0.9999144,0.9998466,0.9996830
1.7730000,0.9999383,1.0000000,0.9999364,1.0000000,0.9999662,0.9999982,0.9998851,0.9999911,0.9999660,0.9996740,0.9991738,0.9937840,0.9998984,0.9998405,1.0000000
1.7740000,0.9999520,0.9999895,0.9999153,0.9999402,1.0000000,0.9999800,0.9998877,0.9999910,0.9999567,0.9993404,0.9979723,0.9928065,0.9999138,1.0000000,0.9998361
1.7750000,0.9999633,0.9999858,0.9999000,0.9998969,0.9999914,0.9999971,0.9998892,1.0000000,0.9999474,0.9992980,0.9959013,0.9966996,0.9999227,0.9998857,0.9999622
1.7760000,0.9999703,0.9999874,0.9999185,0.9998366,0.9999783,0.9999598,0.9998158,0.9999884,0.9999381,0.9991920,0.9983836,0.9936358,0.9999360,0.9998199,0.9999362
1.7770000,0.9999633,0.9999863,0.9999538,0.9997885,0.9999849,0.9999878,0.9997835,0.9999902,0.9999288,0.9992915,0.9987261,0.9953094,0.9999297,0.9999039,0.9997178
1.7780000,0.9999415,0.9999775,0.9999780,0.9997798,0.9999594,0.9999874,0.9997642,0.9999840,0.9999196,0.9994986,0.9987313,0.9973956,0.9999463,0.9999815,0.9998202
1.7790000,0.9999276,0.9999717,0.9999814,0.9997702,0.9999671,0.9999955,0.9997319,0.9999914,0.9999103,0.9990901,0.9989199,0.9974939,0.9999552,1.0000000,0.9999034
1.7800000,0.9999502,0.9999742,1.0000000,0.9997928,0.9999503,0.9999810,0.9996719,0.9999946,0.9999010,0.9991868,0.9978525,0.9971099,0.9999370,0.9999376,0.9998810
1.7810000,0.9999843,0.9999719,0.9999937,0.9998736,1.0000000,1.0000000,0.9996303,0.9999926,0.9999109,0.9994051,0.9988077,0.9942485,0.9999611,0.9999238,0.9998990
1.7820000,1.0000000,0.9999718,0.9999710,0.9999302,0.9999597,0.9999750,0.9996172,0.9999935,0.9999208,0.9991095,0.9980786,0.9936967,0.9999603,0.9998783,0.9998718
1.7830000,0.9999656,0.9999771,0.9999439,0.9999461,0.9999294,0.9999792,0.9995361,0.9999753,0.9999308,0.9993903,0.9990420,0.9915677,0.9999703,0.9999129,1.0000000
1.7840000,0.9999812,0.9999850,0.9999250,0.9999680,0.9999300,0.9999709,0.9994769,0.9999790,0.9999407,0.9993086,0.9990327,0.9943522,0.9999684,0.9999991,1.0000000
1.7850000,1.0000000,0.9999793,0.9999520,0.9999588,0.9999040,0.9999533,0.9994034,0.9999840,0.9999506,0.9988739,0.9976183,0.9961507,0.9999664,0.9998830,1.0000000
1.7860000,0.9999746,0.9999757,0.9999568,0.9998891,0.9999173,0.9999584,0.9993500,0.9999737,0.9999605,0.9986913,0.9983125,0.9966062,0.9999721,0.9999282,0.9999133
1.7870000,0.9999433,0.9999732,0.9999409,0.9998335,0.9999242,0.9999643,0.9992978,0.9999808,0.9999704,0.9988253,0.9993388,0.9978396,0.9999930,0.9998384,0.9998042
1.7880000,0.9999935,0.9999723,0.9999237,0.9997681,0.9999326,0.9999497,0.9992449,0.9999621,0.9999803,0.9990419,0.9988655,0.9964468,0.9999910,0.9998762,0.9997247
1.7890000,0.9999752,0.9999729,0.9999282,0.9996448,0.9998800,0.9999547,0.9992143,0.9999831,0.9999901,0.9993525,0.9996101,0.9952451,0.9999902,0.9998528,0.9997091
1.7900000,0.9999625,0.9999712,0.9999638,0.9994501,0.9999177,0.9999487,0.9991145,0.9999931,1.0000000,1.0000000,0.9995489,0.9955673,0.9999959,0.9999738,0.9997220
1.7910000,0.9999825,0.9999683,0.9999737,0.9994323,0.9999088,0.9999585,0.9990449,0.9999829,0.9999832,0.9993959,0.9994687,0.9961636,0.9999831,0.9999157,0.9997289
1.7920000,0.9999708,0.9999690,0.9999567,0.9994707,0.9998710,0.9999772,0.9990038,0.9999953,0.9999662,0.9990446,0.9989510,0.9956991,0.9999898,0.9998439,0.9996838
1.7930000,0.9999975,0.9999764,0.9999336,0.9994584,0.9998932,0.9999538,0.9989580,0.9999948,0.9999494,0.9987444,0.9989327,0.9982928,0.9999727,0.9998743,0.9997711
1.7940000,0.9999907,0.9999877,0.9999219,0.9993423,0.9999134,0.9999768,0.9989239,1.0000000,0.9999324,0.9989966,0.9992258,0.9978963,0.9999817,0.9998372,0.9997910
1.7950000,0.9999928,0.9999858,0.9999210,0.9991900,0.9998995,0.9999841,0.9988984,0.9999859,0.9999155,0.9991778,0.9990535,0.9974799,0.9999906,0.9998445,0.9996904
1.7960000,0.9999677,0.9999773,0.9999436,0.9990849,0.9998632,0.9999601,0.9988768,0.9999880,0.9998986,0.9993774,0.9986085,0.9976870,0.9999984,0.9998411,0.9997457
1.7970000,0.9999955,0.9999773,0.9999739,0.9991468,0.9998622,0.9999538,0.9988573,0.9999795,0.9998817,0.9992977,1.0000000,0.9969677,0.9999856,0.9998420,0.9996700
1.7980000,0.9999874,0.9999803,0.9999785,0.9991522,0.9998252,0.9999609,0.9988648,0.9999722,0.9998647,0.9993972,0.9992473,0.9978411,1.0000000,0.9997987,0.9996392
1.7990000,0.9999914,0.9999793,0.9999517,0.9990221,0.9998206,0.9999501,0.9988467,0.9999741,0.9998479,0.9991993,0.9980057,0.9973679,0.9999978,0.9996806,0.9997864
1.8000000,0.9999943,0.9999661,0.9999389,0.9989696,0.9998009,0.9999555,0.9988725,0.9999895,0.9998309,0.9992369,0.9984279,0.9989348,0.9999881,0.9997310,0.9996318
1.8010000,1.0000000,0.9999630,0.9999482,0.9990403,0.9998144,0.9999478,0.9988644,0.9999869,0.9998304,0.9988355,0.9985911,0.9948314,0.9999848,0.9997666,0.9996988
1.8020000,0.9999834,0.9999646,0.9999344,0.9989951,0.9997996,0.9999525,0.9988227,0.9999841,0.9998299,0.9988458,0.9985748,0.9937580,1.0000000,0.9998117,0.9996999
1.8030000,0.9999852,0.9999698,0.9999287,0.9988645,0.9997754,0.9999660,0.9988419,0.9999843,0.9998294,0.9992643,0.9990691,0.9948431,0.9999872,0.9997284,0.9997515
1.8040000,0.9999891,0.9999748,0.9999446,0.9986693,0.9997638,0.9999383,0.9988313,0.9999854,0.9998289,0.9991030,0.9984032,0.9953084,0.9999799,0.9997872,0.9996018
1.8050000,0.9999753,0.9999696,0.9999561,0.9983731,0.9997549,0.9999169,0.9988038,0.9999885,0.9998284,0.9990929,0.9981792,0.9943373,0.9999737,0.9998375,0.9995734
1.8060000,1.0000000,0.9999699,0.9999632,0.9981687,0.9997558,0.9999095,0.9988359,0.9999626,0.9998279,0.9992470,0.9987889,0.9968044,1.0000000,0.9997510,0.9997357
1.8070000,0.9999940,0.9999723,0.9999824,0.9980973,0.9997342,0.9999022,0.9988488,0.9999793,0.9998274,0.9991065,0.9991477,0.9974475,0.9999853,0.9996814,0.9995543
1.8080000,0.9999553,0.9999741,1.0000000,0.9980628,0.9996873,0.9999101,0.9988374,0.9999795,0.9998269,0.9990380,0.9993273,0.9960946,0.9999804,0.9995929,0.9996542
1.8090000,0.9999671,0.9999744,0.9999974,0.9979811,0.9996461,0.9999164,0.9987350,0.9999771,0.9998264,0.9989565,0.9989862,0.9990025,0.9999744,0.9997148,0.9995999
1.8100000,0.9999753,0.9999753,0.9999374,0.9978180,0.9996706,0.9999193,0.9987120,0.9999725,0.9998259,0.9990538,0.9990792,0.9981791,0.9999630,0.9997220,0.9996315
1.8110000,0.9999796,0.9999732,0.9999106,0.9977679,0.9997147,0.9999297,0.9987020,0.9999670,0.9998189,0.9988825,0.9996018,0.9963973,0.9999722,0.9995704,0.9996666
1.8120000,0.9999809,0.9999649,0.9999051,0.9976914,0.9996948,0.9998871,0.9986694,0.9999715,0.9998119,0.9991558,0.9995987,0.9974184,0.9999694,0.9995544,0.9996078
1.8130000,0.9999685,0.9999554,0.9998996,0.9975180,0.9997139,0.9998912,0.9986022,0.9999700,0.9998049,0.9991148,0.9992593,0.9950397,0.9999613,0.9995964,0.9996569
1.8140000,0.9999582,0.9999504,0.9998750,0.9972457,0.9996325,0.9998834,0.9985296,0.9999530,0.9997979,0.9990324,0.9984054,0.9952217,0.9999314,0.9995983,0.9996756
1.8150000,0.9999478,0.9999495,0.9998376,0.9972202,0.9997015,0.9998887,0.9985071,0.9999545,0.9997909,0.9987580,1.0000000,0.9959221,0.9999232,0.9995498,0.9995522
1.8160000,0.9999498,0.9999527,0.9998298,0.9971224,0.9997004,0.9998807,0.9984992,0.9999649,0.9997839,0.9991478,0.9990018,0.9961231,0.9999476,0.9995959,0.9995920
1.8170000,0.9999923,0.9999551,0.9998314,0.9969149,0.9996578,0.9999171,0.9984913,0.9999466,0.9997769,0.9991403,0.9986680,0.9989121,0.9999285,0.9996220,0.9995168
1.8180000,0.9999430,0.9999583,0.9998333,0.9966694,0.9996505,0.9999019,0.9984780,0.9999388,0.9997699,0.9991856,0.9982455,0.9998126,0.9999041,0.9995956,0.9997019
1.8190000,0.9999675,0.9999664,0.9998292,0.9965266,0.9996911,0.9998938,0.9984379,0.9999445,0.9997629,0.9995584,0.9974708,0.9955859,0.9998992,0.9995660,0.9998072
1.8200000,0.9999593,0.9999586,0.9998208,0.9964814,0.9998222,0.9998841,0.9984481,0.9999344,0.9997560,0.9994259,0.9990537,0.9968691,0.9998856,0.9995900,0.9999440
1.8210000,0.9999628,0.9999481,0.9998252,0.9963482,0.9997869,0.9999147,0.9984937,0.9999454,0.9997492,0.9993475,0.9986305,0.9965863,0.9999067,0.9996498,1.0000000
1.8220000,0.9999604,0.9999424,0.9998456,0.9961315,0.9997235,0.9999276,0.9985383,0.9999300,0.9997425,0.9990100,0.9995199,0.9946515,0.9998898,0.9995708,0.9999167
1.8230000,0.9999473,0.9999447,0.9998739,0.9958800,0.9996780,0.9999233,0.9985889,0.9999393,0.9997357,0.9989601,0.9995991,0.9964226,0.9998686,0.9996222,0.9997434
1.8240000,0.9999685,0.9999500,0.9998740,0.9957618,0.9996106,0.9999074,0.9986692,0.9999372,0.9997289,0.9989320,0.9990754,0.9968297,0.9998311,0.9996924,0.9995363
1.8250000,0.9999844,0.9999457,0.9998402,0.9958703,0.9996769,0.9999024,0.9986850,0.9999361,0.9997221,0.9992600,0.9984280,0.9961790,0.9998468,0.9997196,0.9995304
1.8260000,0.9999543,0.9999424,0.9998144,0.9959708,0.9999056,0.9998529,0.9987315,0.9999124,0.9997154,0.9993229,0.9988913,0.9961531,0.9998539,0.9996984,0.9998344
1.8270000,0.9999553,0.9999439,0.9997836,0.9959832,0.9996907,0.9998645,0.9988118,0.9999091,0.9997086,0.9991576,0.9989844,0.9969611,0.9998500,0.9996236,0.9996531
1.8280000,0.9999739,0.9999528,0.9997241,0.9958545,0.9996931,0.9998819,0.9988415,0.9999161,0.9997018,0.9994292,0.9985653,0.9964728,0.9998147,0.9997254,0.9998354
1.8290000,0.9999420,0.9999583,0.9996856,0.9957866,0.9997350,0.9998595,0.9989498,0.9999002,0.9996951,0.9996068,0.9976957,0.9970883,0.9998000,0.9997967,0.9998236
1.8300000,0.9999466,0.9999494,0.9996794,0.9956344,0.9997475,0.9998469,0.9989931,0.9999023,0.9996883,0.9996107,0.9979157,0.9957530,0.9997951,0.9997198,0.9998247
1.8310000,0.9999268,0.9999377,0.9996734,0.9954248,0.9997793,0.9998161,0.9990662,0.9998890,0.9997195,0.9998202,0.9984968,0.9936935,0.9997575,0.9997176,0.9998713
